Date,Open,High,Low,Adj Close
18-09-15,278.25,285.35,274.8,272.25
17-09-15,272.85,272.85,272.85,267.35
16-09-15,272.5,273.95,269.05,267.35
15-09-15,273,273,266.8,263.09
14-09-15,266.25,273.3,263.1,266.91
11-09-15,267.35,269.9,264.4,262.15
10-09-15,260,270,256.25,262.01
09-09-15,267.95,269,262.65,259.22
08-09-15,251.8,262.3,249.2,255.54
07-09-15,260.05,261.25,247.7,244.08
04-09-15,264.9,265.1,254.65,252.55
03-09-15,268.65,269.8,261.7,261.47
02-09-15,276,276.75,263.1,259.51
01-09-15,275,278.45,268.3,265.49
31-08-15,282.9,284.35,276.35,272.3
28-08-15,285.05,289.3,281.65,277.98
27-08-15,282.75,284.5,280.2,276.75
26-08-15,279.95,282.25,275.7,272.44
25-08-15,276.55,284.4,267.15,277.78
24-08-15,282.4,284.85,267.5,264.51
21-08-15,293.75,297.9,288.6,290.52
20-08-15,300.25,306.75,295.85,292.24
19-08-15,301.05,305.4,300.5,298.36
18-08-15,303,304.2,297.7,295.03
17-08-15,301.95,304.7,296.85,296.79
14-08-15,294.25,303.8,292.05,296.5
13-08-15,295.25,298.7,290.85,286.01
12-08-15,300,300.15,290.1,285.77
11-08-15,309.9,309.9,300.75,296.16
10-08-15,310,314,307.15,303.36
07-08-15,309.9,312.55,308.45,303.9
06-08-15,312.75,312.85,307.45,304.78
05-08-15,314.75,319.8,309,305.07
04-08-15,313.5,315.25,307.05,307.72
03-08-15,304.45,314,304.2,306.59
31-07-15,294.45,308.9,294.1,296.3
30-07-15,290,293.65,287.5,285.13
29-07-15,287.5,289.9,284.05,283.42
28-07-15,291.7,295.35,282.7,279.25
27-07-15,299.85,299.85,290.1,285.23
24-07-15,311.8,311.8,299.3,294.54
23-07-15,316.85,317.7,312.25,306.59
22-07-15,310.8,317.7,309.8,310.41
21-07-15,317.5,317.5,310.4,305.17
20-07-15,318.95,319.8,312.1,309.43
17-07-15,318,321,316.55,311.05
16-07-15,314.75,318.25,314.4,310.71
15-07-15,313.9,316,313.35,308.3
14-07-15,317,317.1,312.05,307.13
13-07-15,314.5,317.2,312.8,310.02
10-07-15,312.5,314.9,310.25,306.84
09-07-15,307,310.95,305.7,303.26
08-07-15,308.4,311.6,306.3,301.35
07-07-15,314,318,311.55,306.3
06-07-15,309.1,316.75,305.25,308.79
03-07-15,311.75,315.5,310.9,308.21
02-07-15,314.3,315.45,311.1,306.69
01-07-15,308.7,313.5,308.7,305.9
30-06-15,310.05,313.6,304.05,301.79
29-06-15,302,313,300.15,304.92
26-06-15,315,315.05,308.55,305.41
25-06-15,316.35,319.65,313.2,308.45
24-06-15,313.7,320.4,312.65,311.34
23-06-15,314.95,316.8,312,307.18
22-06-15,306.4,315.9,306.05,308.7
19-06-15,300.4,306,300.4,298.41
18-06-15,304.55,305.7,302.35,297.23
17-06-15,304.25,304.3,300.05,295.27
16-06-15,297.05,303,293.9,295.96
15-06-15,295,300.35,293.2,293.17
12-06-15,289.5,297,287.15,289.98
11-06-15,296,297.2,286.5,282.68
10-06-15,287,294.35,286.7,286.6
09-06-15,282.9,287.8,282.05,281.31
08-06-15,285.65,285.65,280.35,277.44
05-06-15,291.2,292.4,283,278.37
04-06-15,291.8,292.8,285.45,284.25
03-06-15,304.25,304.25,290.8,284.89
02-06-15,317,317.5,303,293.32
01-06-15,317,319,316,304.83
29-05-15,317.1,318.9,314.8,305.6
28-05-15,314.25,316,311.5,302.95
27-05-15,311.8,314.8,307.5,301.65
26-05-15,312,313,308.65,298.32
25-05-15,312,314.1,310.95,300.68
22-05-15,315,318.15,311.75,302.08
21-05-15,320.2,320.8,312.7,302.03
20-05-15,316.25,321,316.25,307.04
19-05-15,313.95,318.9,312,303.77
18-05-15,315,316.9,312.9,304.63
15-05-15,315.3,316.45,310.55,300.88
14-05-15,317.7,317.95,311.25,303.38
13-05-15,313.15,319.15,306.5,305.98
12-05-15,323.55,324,307,296.88
11-05-15,320.05,325.8,319.1,311.62
08-05-15,310,318.9,310,305.36
07-05-15,312.2,313,300.6,293.41
06-05-15,326.9,338,310.15,300.68
05-05-15,329.3,330.9,327.1,316.39
04-05-15,332.75,336.9,326.2,317.2
01-05-15,331.15,331.15,331.15,318.99
30-04-15,331,333.6,325.2,318.99
29-04-15,327.8,334.8,325.1,318.02
28-04-15,305.6,328.6,305.6,314.84
27-04-15,310.7,312.45,296.7,291.2
24-04-15,312.45,312.55,307.1,296.93
23-04-15,314.25,315.9,309.75,300.4
22-04-15,313.25,315,303.4,301.46
21-04-15,311,316.6,309.95,299.43
20-04-15,312.9,317.6,308.3,299.72
17-04-15,314.05,314.95,308.25,298.71
16-04-15,315.9,316,310.15,301.02
15-04-15,318.35,322.3,313.05,303.43
14-04-15,316.9,316.9,316.9,305.26
13-04-15,319.9,319.9,316,305.26
10-04-15,319.5,321.65,317.2,306.61
09-04-15,318,321.9,316.9,308.82
08-04-15,318.9,319.7,314.55,303.53
07-04-15,322.95,323.45,315,305.74
06-04-15,325.45,325.45,319.35,309.45
03-04-15,323.15,323.15,323.15,311.28
02-04-15,323.15,323.15,323.15,311.28
01-04-15,315,324.4,314.05,311.28
31-03-15,318.9,322.75,313.8,303.91
30-03-15,316.3,319.5,313.35,306.99
27-03-15,313,316.2,308.25,303
26-03-15,311,313.7,302.6,296.64
25-03-15,312,319,311.1,305.26
24-03-15,310.5,316.65,309.45,300.44
23-03-15,322.05,322.4,312.45,302.27
20-03-15,328.9,329.25,316.7,306.9
19-03-15,339.5,341.4,328.35,318.07
18-03-15,333.1,336.55,331.05,322.5
17-03-15,332,336.5,330.15,322.55
16-03-15,329.5,333,325.65,319.28
13-03-15,345,346,329,318.07
12-03-15,337.55,339.7,334.65,325.78
11-03-15,333.6,336.95,329,320.43
10-03-15,332.7,337.8,330.35,321.39
09-03-15,342,342.95,331.75,320.58
06-03-15,347.75,347.75,347.75,334.98
05-03-15,346.4,349.9,340.1,334.98
04-03-15,360,362,346.05,336.52
03-03-15,348,349.5,344.1,335.84
02-03-15,350.85,351.95,340.55,336.23
27-02-15,324.6,337.05,323,322.94
26-02-15,324.7,325.45,320.15,309.5
25-02-15,327.6,331,321.25,310.65
24-02-15,329.5,331.4,324.5,314.07
23-02-15,333,334.5,327,316.92
20-02-15,335,335.8,328.5,318.79
19-02-15,340.1,343.85,332.25,326.11
18-02-15,339.7,344,339.7,329.82
17-02-15,338.05,338.05,338.05,325.63
16-02-15,346.95,346.95,336.4,325.63
13-02-15,344,345.9,340.2,331.22
12-02-15,338.2,341.35,330,326.69
11-02-15,334.1,339.95,333.95,322.41
10-02-15,318.5,335,316.4,318.89
09-02-15,327.5,327.5,318.5,308.29
06-02-15,336,340,327.7,317.25
05-02-15,340.9,345.3,332.75,323.27
04-02-15,346.05,347.25,340.25,331.99
03-02-15,352,356.8,345.1,333.87
02-02-15,360.3,360.7,350,338.93
30-01-15,381.45,382,354.65,347.45
29-01-15,380.1,383.8,375.55,366.33
28-01-15,382.95,393.4,381.6,369.94
27-01-15,374.5,384.8,372.7,369.41
26-01-15,370.7,370.7,370.7,357.08
23-01-15,374.9,375.5,368.7,357.08
22-01-15,368.9,372.3,364.6,356.22
21-01-15,366.5,370.95,365.15,354.92
20-01-15,359.7,369.25,359.7,354.24
19-01-15,355.5,361.8,353.5,347.55
16-01-15,352.85,354.6,347.45,340.85
15-01-15,352.15,356,347.55,339.89
14-01-15,339.25,341.8,333,324.53
13-01-15,349,349,339.75,328.38
12-01-15,342.75,347.6,338.7,333.82
09-01-15,349.95,350.4,337.1,329.29
08-01-15,345,348.5,341.2,334.69
07-01-15,345.6,346.25,335.45,325.83
06-01-15,359.4,359.9,346.2,334.88
05-01-15,365.3,367.4,361.5,349.71
02-01-15,352,363.5,352,348.99
01-01-15,352.7,353.45,350.2,339.36
